"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 17:52:56 GMT 2021","Mon Aug 16 17:53:32 GMT 2021","35956","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 17:52:12 GMT 2021","Mon Aug 16 17:52:56 GMT 2021","44214","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"passed","Mon Aug 16 17:49:01 GMT 2021","Mon Aug 16 17:49:25 GMT 2021","24320","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 17:48:34 GMT 2021","Mon Aug 16 17:48:54 GMT 2021","19524","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 17:48:54 GMT 2021","Mon Aug 16 17:49:01 GMT 2021","6903","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 17:53:32 GMT 2021","Mon Aug 16 17:53:45 GMT 2021","12232","tests","con_tc_011_test","","","","test_tc_011_logout",""
"broken","Mon Aug 16 17:48:21 GMT 2021","Mon Aug 16 17:48:34 GMT 2021","13063","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 17:50:16 GMT 2021","Mon Aug 16 17:52:12 GMT 2021","116273","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"passed","Mon Aug 16 17:49:25 GMT 2021","Mon Aug 16 17:49:46 GMT 2021","21159","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 17:49:46 GMT 2021","Mon Aug 16 17:50:16 GMT 2021","29681","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
